Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
30000,3.4879005,0.007533885,1446.5,0.010869553,0.0721782,0.00029621628,0.19873877,0.009874001,0.023487514821681543,0.023487514821681543,1.0
40000,3.4650085,-0.0361118,1142.0,0.013638518,0.06829356,0.000294723,0.198241,0.009824276,-0.27692143695042304,-0.27692143695042304,1.0
50000,3.4969857,-0.013812155,448.0,0.008602239,0.07703321,0.00029326664,0.19775555,0.009775778,-0.5155000050181116,-0.5155000050181116,1.0
60000,3.503271,-0.0065248734,1659.3333333333333,0.009612972,0.069489636,0.0002918053,0.19726843,0.009727115,-0.2521916584646533,-0.2521916584646533,1.0
70000,3.4695435,-0.018757574,874.6666666666666,0.003244842,0.072008684,0.00029034822,0.19678275,0.009678596,-0.37896667936972034,-0.37896667936972034,1.0
80000,3.4483445,-0.033283923,1263.2,0.0069385907,0.071008146,0.00028873587,0.19624528,0.009624903,0.06180000354361255,0.06180000354361255,1.0
90000,3.4236069,-0.040422704,1152.0,0.0061531523,0.068228945,0.0002872701,0.19575669,0.009576094,-0.44684001050773076,-0.44684001050773076,1.0
100000,3.4091334,-0.06237163,941.7777777777778,0.010661265,0.06845849,0.00028584054,0.19528016,0.009528489,-0.08615556117405908,-0.08615556117405908,1.0
110000,3.443158,-0.056356043,509.1666666666667,0.0054874215,0.06816988,0.00028423968,0.19474654,0.009475181,-0.36487501824619056,-0.36487501824619056,1.0
120000,3.473608,-0.012839347,1012.5,0.0045698853,0.070903696,0.0002828011,0.19426705,0.0094272755,-0.30362501390482066,-0.30362501390482066,1.0
130000,3.4192934,-0.0029987558,1381.5,0.0024741932,0.07120078,0.00028133683,0.19377895,0.009378515,-0.07034996719448827,-0.07034996719448827,1.0
140000,3.4441657,-0.053756464,1018.7142857142857,0.005270293,0.07051995,0.00027973638,0.19324546,0.009325221,-0.23792855899331958,-0.23792855899331958,1.0
150000,3.4676163,0.0030589611,1431.5,0.0038872303,0.068180226,0.00027829397,0.19276465,0.009277187,-0.4325749973522761,-0.4325749973522761,1.0
160000,3.436804,0.0009578901,897.0,0.0063469755,0.072091356,0.00027684105,0.19228034,0.009228805,-0.0800000060153252,-0.0800000060153252,1.0
170000,3.4568033,-0.026472118,1173.8333333333333,0.0034910846,0.06895064,0.0002752521,0.1917507,0.009175894,-0.4169916605266432,-0.4169916605266432,1.0
180000,3.467742,-0.020105455,1207.6666666666667,0.004021238,0.07337217,0.0002737825,0.19126084,0.009126956,-0.23259999797058603,-0.23259999797058603,1.0
