Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,-0.1555623,3.5409722,0.019275906,0.073514044,0.00029777575,0.19925858,0.009925932,787.3333333333334,-0.9420333556724169,-0.9420333556724169,1.0
30000,-0.092319526,3.5275493,0.027930072,0.07287458,0.0002962424,0.19874747,0.009874871,1122.3333333333333,-0.6331833421912355,-0.6331833421912355,1.0
40000,-0.062465537,3.5317593,0.014349945,0.071049966,0.00029469308,0.19823104,0.0098232785,1680.75,-0.9853750085676438,-0.9853750085676438,1.0
50000,-0.045427196,3.517446,0.0043803663,0.068545505,0.00029323465,0.19774488,0.009774713,612.5,-1.0162000043819717,-1.0162000043819717,1.0
60000,-0.024186095,3.5035012,0.024117619,0.070546016,0.00029179838,0.19726613,0.009726886,1271.6,-0.7978300326562021,-0.7978300326562021,1.0
70000,-0.01705328,3.4840117,0.051489852,0.07131715,0.0002903462,0.19678205,0.009678528,1113.142857142857,-0.28895722341050195,-0.28895722341050195,1.0
80000,-0.12929322,3.4829345,0.032745935,0.065219246,0.00028873645,0.19624548,0.009624924,938.0,-0.7900833598849002,-0.7900833598849002,1.0
90000,-0.061933182,3.5221355,0.017668897,0.06424631,0.0002871429,0.19571432,0.009571858,912.0,-1.0374500006243277,-1.0374500006243277,1.0
100000,-0.008886786,3.5318165,0.037672862,0.06722191,0.00028571903,0.19523968,0.009524443,907.5714285714286,-0.758057148745138,-0.758057148745138,1.0
110000,-0.0096136425,3.534093,0.007285127,0.07487928,0.00028429314,0.19476439,0.009476962,593.5,-1.0185499886792968,-1.0185499886792968,1.0
120000,-0.0353701,3.4914567,0.03055108,0.07378431,0.0002826808,0.19422694,0.009423269,1341.0,-0.9063572054879582,-0.9063572054879582,1.0
130000,-0.0145521825,3.5151486,0.025166662,0.06298038,0.0002812407,0.1937469,0.009375315,1067.3333333333333,-0.4010500935013018,-0.4010500935013018,1.0
140000,0.0045106844,3.490478,0.03655069,0.069232665,0.00027978892,0.19326296,0.009326969,1136.0,-0.6318333444675469,-0.6318333444675469,1.0
150000,-0.07902588,3.519732,0.021059996,0.073128246,0.00027816722,0.1927224,0.009272967,None,None,None,1.0
160000,-0.027847406,3.508874,0.031634267,0.075202726,0.00027670283,0.19223428,0.009224203,1988.0,-0.10610009750234894,-0.10610009750234894,1.0
170000,0.019600358,3.5022707,0.045564234,0.07411191,0.00027525256,0.19175087,0.00917591,1989.5,0.6060997318127193,0.6060997318127193,1.0
180000,0.015294805,3.4907207,0.053802073,0.06928502,0.00027365022,0.19121674,0.009122552,2032.8,1.1262123100441386,1.1262123100441386,1.0
190000,-0.0021502024,3.5073493,0.017001303,0.076872006,0.0002721984,0.19073282,0.009074206,3327.0,1.4460998266440583,1.4460998266440583,1.0
200000,-0.005983872,3.4967854,0.018656367,0.067167446,0.00027070902,0.19023633,0.009024611,1249.3333333333333,-0.4003667055124727,-0.4003667055124727,1.0
210000,0.0029048785,3.4594955,0.032997064,0.07226494,0.0002691889,0.18972962,0.008973989,1321.3333333333333,-0.403183443879243,-0.403183443879243,1.0
220000,0.012833041,3.491326,0.014799933,0.06596219,0.00026772864,0.18924287,0.008925362,2693.3333333333335,0.35899986619187985,0.35899986619187985,1.0
230000,0.0075898827,3.5071342,0.040096633,0.07611008,0.0002662677,0.1887559,0.008876714,None,None,None,1.0
240000,0.033325955,3.4834244,0.036890484,0.07242366,0.000264781,0.18826033,0.008827208,1324.6666666666667,0.07879982076216645,0.07879982076216645,1.0
250000,0.04771899,3.476648,0.023459893,0.06964754,0.00026316303,0.18772101,0.008773328,195.0,-1.005999994042213,-1.005999994042213,1.0
260000,0.042683784,3.4667006,0.043232165,0.07241331,0.00026165438,0.1872181,0.008723089,2493.5,1.4387250230793143,1.4387250230793143,1.0
270000,0.046593398,3.454163,0.03552535,0.07179795,0.00026017317,0.18672438,0.008673765,922.0,-1.0292000047047623,-1.0292000047047623,1.0
280000,0.032377433,3.4074113,0.04063174,0.07146997,0.00025872144,0.18624048,0.008625424,3754.0,2.242249699338572,2.242249699338572,1.0
290000,0.016279586,3.4213145,0.008568297,0.06618643,0.0002572578,0.1857526,0.008576684,3705.0,0.32334993981203297,0.32334993981203297,1.0
300000,-0.05163439,3.4354436,0.028648768,0.07528201,0.0002558023,0.18526743,0.008528216,1518.2,-0.4969700983747316,-0.4969700983747316,1.0
310000,-0.0085532935,3.4581366,0.013326416,0.07374549,0.00025428977,0.18476327,0.008477847,781.0,-0.0670502507709898,-0.0670502507709898,1.0
320000,0.010278444,3.4666612,0.04549589,0.072202936,0.0002527849,0.18426162,0.008427735,1613.5,-0.09137509793799836,-0.09137509793799836,1.0
330000,-0.009747018,3.456639,0.035645083,0.07184268,0.0002513189,0.18377297,0.008378918,1724.0,-0.08445022904197685,-0.08445022904197685,1.0
340000,-0.028322225,3.4198291,0.048037417,0.070880726,0.00024970828,0.18323609,0.008325284,3029.2,3.555399525683606,3.555399525683606,1.0
350000,-0.009786665,3.4224813,0.03202261,0.0672679,0.0002482613,0.18275374,0.008277099,4683.333333333333,1.2016499343541607,1.2016499343541607,1.0
360000,-0.0064524673,3.458895,0.016136155,0.07296647,0.00024672487,0.18224159,0.0082259355,None,None,None,1.0
370000,0.0062494143,3.4616904,0.040165357,0.07097476,0.0002451875,0.18172915,0.008174742,1166.5,-1.0188250178325688,-1.0188250178325688,1.0
380000,0.018042626,3.4733446,0.027323956,0.07120229,0.00024372297,0.18124096,0.008125973,1705.0,1.8272497383295558,1.8272497383295558,1.0
390000,0.0028259582,3.441187,0.051242717,0.07273075,0.00024225726,0.18075238,0.008077165,2930.0,1.0941498367174063,1.0941498367174063,1.0
400000,0.03386928,3.4505823,0.024117371,0.07107693,0.00024071641,0.1802388,0.008025856,None,None,None,1.0
410000,0.03872412,3.4063704,0.06965781,0.07595099,0.00023921255,0.1797375,0.007975776,1972.0,-0.1005500198516529,-0.1005500198516529,1.0
420000,0.012242463,3.3656392,0.03500955,0.07253377,0.00023774567,0.17924854,0.007926929,4007.0,5.560249995905906,5.560249995905906,1.0
430000,0.03770585,3.3947546,0.025022017,0.065435484,0.00023622051,0.17874017,0.007876142,3316.0,3.924999471841147,3.924999471841147,1.0
440000,0.026884254,3.3674836,0.04894366,0.06545708,0.00023477913,0.1782597,0.007828144,3194.0,1.6325997959393135,1.6325997959393135,1.0
450000,-0.015787126,3.384557,0.044331018,0.06741877,0.00023320407,0.17773469,0.007775695,1688.6666666666667,0.03633321943198098,0.03633321943198098,1.0
460000,-0.0048833336,3.3681674,0.044053636,0.07109982,0.00023168586,0.1772286,0.007725137,2033.0,0.11549155984478905,0.11549155984478905,1.0
470000,-0.01956592,3.4330072,0.040804695,0.072071806,0.00023017029,0.17672342,0.0076746694,665.8,-0.39541008196247274,-0.39541008196247274,1.0
480000,0.0026748765,3.4364607,0.04736948,0.06772977,0.00022872814,0.1762427,0.007626646,1054.75,0.7054873802007933,0.7054873802007933,1.0
490000,-0.012714525,3.4385931,0.012865296,0.06649445,0.00022728567,0.17576188,0.0075786123,1300.3333333333333,-0.6979501142341178,-0.6979501142341178,1.0
500000,-0.021036875,3.443914,0.07510894,0.07006993,0.00022569436,0.17523143,0.0075256205,1290.5,0.4054873599779967,0.4054873599779967,1.0
510000,-0.0070037283,3.4767716,0.041173555,0.067710824,0.00022425462,0.17475154,0.007477677,1300.25,-0.48855004282086156,-0.48855004282086156,1.0
520000,0.003048211,3.463459,0.020611847,0.06929915,0.00022279918,0.17426637,0.0074292114,655.0,-1.0187249731825432,-1.0187249731825432,1.0
530000,-0.022857308,3.4537306,0.04037746,0.07080163,0.00022119396,0.1737313,0.0073757567,1912.5,0.3849498204072006,0.3849498204072006,1.0
540000,-0.04994823,3.4317443,0.011461402,0.0653564,0.00021974376,0.17324789,0.0073274653,2009.0,0.7012664944243928,0.7012664944243928,1.0
550000,-0.0065770466,3.4492905,0.017687753,0.06747095,0.00021830662,0.17276886,0.0072796093,2325.0,-1.0541500194522087,-1.0541500194522087,1.0
