Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.5583322,0.53235894,0.11861464,0.0708199,0.00029913918,0.19971308,0.0099713355,468.0,-1.0777999113779515,-1.0777999113779515,1.0
20000,3.5324597,0.25256675,0.06639788,0.06716536,0.0002977754,0.19925848,0.009925922,993.25,-2.877412400644971,-2.877412400644971,1.0
30000,3.4983,-0.05084528,0.10292165,0.07007232,0.00029629187,0.19876395,0.009876518,373.0,-1.6927369088007254,-1.6927369088007254,1.0
40000,3.5203192,-0.24393088,0.0423271,0.06900475,0.00029466857,0.19822286,0.009822464,313.2307692307692,-1.386753840171038,-1.386753840171038,1.0
50000,3.5339882,-0.27518505,0.016038394,0.07364959,0.00029321347,0.19773783,0.009774008,695.3333333333334,-1.923049902038959,-1.923049902038959,1.0
60000,3.5344937,-0.2387236,0.033002846,0.07300484,0.00029177062,0.19725688,0.009725963,928.25,-2.615212413449626,-2.615212413449626,1.0
70000,3.5268283,-0.19001864,0.052461766,0.069336064,0.00029016222,0.19672075,0.0096724015,772.0,-1.67766659302409,-1.67766659302409,1.0
80000,3.535771,-0.14957125,0.022709634,0.07315405,0.0002887234,0.19624113,0.009624489,1654.3333333333333,-3.0004332167360794,-3.0004332167360794,1.0
90000,3.5287771,-0.14057294,0.01850963,0.06928715,0.00028728734,0.19576243,0.009576668,2100.5,-3.831749825316365,-3.831749825316365,1.0
100000,3.5196369,-0.17999719,0.028109217,0.06714296,0.00028566897,0.19522297,0.009522775,595.75,-2.0531249245323124,-2.0531249245323124,1.0
110000,3.4906416,-0.20171149,0.024880866,0.06353256,0.00028420635,0.19473542,0.009474071,829.0,-2.68173988336639,-2.68173988336639,1.0
120000,3.4762142,-0.27167523,0.040256117,0.07506711,0.00028272084,0.19424029,0.009424604,411.92857142857144,-1.8094132754398742,-1.8094132754398742,1.0
130000,3.4902627,-0.2779148,0.02870686,0.066585675,0.0002812722,0.19375739,0.009376364,303.25,-1.6626437107388483,-1.6626437107388483,1.0
140000,3.4778514,-0.275144,0.015872533,0.07399113,0.00027984887,0.19328296,0.009328967,1453.0,-3.650229819610831,-3.650229819610831,1.0
150000,3.4786465,-0.23202494,0.045941975,0.06516159,0.0002782638,0.1927546,0.009276183,752.3333333333334,-2.2906276912318493,-2.2906276912318493,1.0
160000,3.4839683,-0.23261464,0.037558433,0.06987257,0.0002766719,0.19222395,0.009223173,1067.0,-2.4759443170171127,-2.4759443170171127,1.0
170000,3.4755309,-0.2115306,0.040201973,0.07896448,0.00027522768,0.19174257,0.009175081,602.1428571428571,-2.2963199243570367,-2.2963199243570367,1.0
180000,3.4974947,-0.23738647,0.028729782,0.073741555,0.00027378477,0.19126159,0.009127031,437.85714285714283,-1.5471714199770108,-1.5471714199770108,1.0
190000,3.4784677,-0.23905069,0.050552487,0.073510595,0.00027219343,0.19073114,0.009074041,634.6,-1.909314946772065,-1.909314946772065,1.0
200000,3.4495244,-0.2531092,0.05356597,0.063967854,0.0002707675,0.19025582,0.009026557,446.4,-1.907874949169127,-1.907874949169127,1.0
210000,3.4396756,-0.24319085,0.032159474,0.07243287,0.00026926855,0.18975617,0.008976641,874.1428571428571,-2.021749950354985,-2.021749950354985,1.0
220000,3.4591281,-0.22264235,0.045934513,0.06740303,0.00026765052,0.18921682,0.008922759,505.4166666666667,-1.828274973258279,-1.828274973258279,1.0
230000,3.453689,-0.25728142,0.025490327,0.06999203,0.00026621378,0.18873791,0.008874918,500.55555555555554,-1.8726721798011567,-1.8726721798011567,1.0
240000,3.4616094,-0.24581553,0.03242725,0.06690441,0.00026475068,0.18825021,0.008826196,659.8571428571429,-1.9049927848017043,-1.9049927848017043,1.0
250000,3.4380674,-0.22099662,0.025786035,0.06272161,0.00026330294,0.18776761,0.008777985,807.5714285714286,-2.312778487944992,-2.312778487944992,1.0
260000,3.4667957,-0.20517457,0.05071304,0.06506829,0.0002618549,0.18728498,0.008729767,751.3333333333334,-2.054808271891185,-2.054808271891185,1.0
270000,3.4601736,-0.21458833,0.024452219,0.06419971,0.00026026624,0.1867554,0.008676864,436.125,-1.6103187339663236,-1.6103187339663236,1.0
280000,3.411779,-0.19968587,0.02430225,0.06531571,0.00025865895,0.18621963,0.008623341,958.8571428571429,-2.470807048735878,-2.470807048735878,1.0
290000,3.3815289,-0.1692327,0.023631796,0.06507573,0.00025723068,0.18574356,0.008575781,939.75,-2.303224890914862,-2.303224890914862,1.0
300000,3.3957014,-0.19580533,0.014202247,0.072460756,0.00025578434,0.18526144,0.008527617,977.5,-2.193941573978615,-2.193941573978615,1.0
310000,3.3341951,-0.16376542,0.019890938,0.06836955,0.00025420208,0.18473403,0.008474928,1261.5,-2.7955498925584834,-2.7955498925584834,1.0
320000,3.3396902,-0.21071437,0.022597447,0.06857192,0.00025275286,0.18425097,0.00842667,1065.0,-2.380059911040007,-2.380059911040007,1.0
330000,3.294386,-0.15942349,0.009086081,0.069841065,0.0002512923,0.1837641,0.0083780335,849.0,-2.0008749625412747,-2.0008749625412747,1.0
340000,3.1841226,-0.13354602,0.011911007,0.066314496,0.0002496646,0.18322153,0.008323829,1117.25,-1.610799933943781,-1.610799933943781,1.0
