Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,3.5624943,302.3333333333333,1189.9504480348103,-1.9240588,-7.2957626196245355,-7.2957626196245355,0.19501235,0.07484001,0.00029999999,0.2,0.0049999994,1.0
20000,3.544107,None,None,-1.9602787,None,None,None,None,None,None,None,1.0
30000,3.5488026,None,None,-1.9044424,None,None,0.016691709,0.07047169,0.0003,0.20000005,0.0049999994,1.0
40000,3.523233,729.0,1173.9100182016673,-1.9182982,-18.03502200331007,-18.03502200331007,0.036042094,0.06462046,0.00029999999,0.20000002,0.004999999,1.0
50000,3.5118613,23.0,1166.5455922200108,-1.6430036,-0.9489499852061272,-0.9489499852061272,0.012770871,0.07108261,0.00029999996,0.20000003,0.004999999,1.0
60000,3.4918733,None,None,-1.8713653,None,None,None,None,None,None,None,1.0
70000,3.4563394,1528.0,1161.9267320359374,-1.9311299,-28.339150086045265,-28.339150086045265,0.01695014,0.07257482,0.00029999996,0.2,0.004999999,1.0
80000,3.4013724,1899.0,1155.863107650441,-1.5990472,-33.652333380447494,-33.652333380447494,0.011319453,0.06931109,0.00029999996,0.20000002,0.004999999,1.0
90000,3.376261,1378.0,1146.2932610155735,-1.3346153,-24.487412986159324,-24.487412986159324,0.01797143,0.0733699,0.00029999996,0.19999999,0.004999999,1.0
100000,3.3597126,None,None,-1.371134,None,None,0.010725922,0.072752625,0.00029999996,0.20000003,0.004999999,1.0
110000,3.2612689,1661.5714285714287,1136.4199817974536,-1.0900646,-23.488284503038113,-23.488284503038113,0.006077239,0.06823197,0.00029999996,0.20000003,0.004999999,1.0
120000,3.212871,888.5,1129.7366847457324,-1.1963367,-17.822632392247517,-17.822632392247517,0.0077060554,0.07352095,0.00029999996,0.20000003,0.004999999,1.0
130000,3.194885,1073.5,1125.3082696869187,-0.95584536,-10.585499811172486,-10.585499811172486,0.006541309,0.06761871,0.00029999996,0.2,0.0049999994,1.0
140000,3.1414895,1702.0,1121.8784921739325,-0.8586499,-13.721099257469177,-13.721099257469177,0.0035492098,0.06703156,0.00029999996,0.20000003,0.004999999,1.0
150000,3.1129687,1353.2,1118.2879900431622,-0.7463662,-10.38730945821153,-10.38730945821153,0.004421648,0.07400135,0.00029999996,0.20000005,0.004999999,1.0
160000,3.0820396,2681.0,1113.5675741611683,-0.6694527,-23.232349023222923,-23.232349023222923,0.006000888,0.071726896,0.00029999999,0.2,0.004999999,1.0
170000,3.0516644,944.5714285714286,1107.3104883548278,-0.6151715,-5.891041266421477,-5.891041266421477,0.0038723445,0.06410028,0.00029999996,0.2,0.004999999,1.0
180000,2.9670544,1255.6,1098.9384898235512,-0.5934936,-5.878316484391689,-5.878316484391689,0.003975492,0.069545336,0.00029999999,0.2,0.004999999,1.0
190000,2.929124,259.0,1095.1992775239892,-0.44113848,-0.9131499826908112,-0.9131499826908112,0.002241982,0.07123703,0.00029999996,0.20000005,0.004999999,1.0
200000,2.8986123,697.5,1092.8297833968172,-0.4035122,-2.6786497719585896,-2.6786497719585896,0.006086998,0.067536645,0.00029999996,0.20000005,0.004999999,1.0
210000,2.9138465,347.5,1087.2198428178815,-0.29377824,-1.2805749475955963,-1.2805749475955963,0.005702003,0.073552206,0.0003,0.19999999,0.004999999,1.0
220000,2.8977845,None,None,-0.22442815,None,None,None,None,None,None,None,1.0
230000,2.8924785,None,None,-0.26120812,None,None,0.002788601,0.068721734,0.00029999996,0.20000002,0.005,1.0
240000,2.8632712,1346.0,1081.7372538446787,-0.22088932,-1.2795331894109647,-1.2795331894109647,0.0026463817,0.06592003,0.00029999996,0.2,0.004999999,1.0
250000,2.8721786,None,None,-0.16156808,None,None,0.003653705,0.07093951,0.00029999999,0.2,0.0049999994,1.0
260000,2.8764856,None,None,-0.12741604,None,None,None,None,None,None,None,1.0
270000,2.8782616,2085.0,1078.3721792274955,-0.09371392,0.6578501433250494,0.6578501433250494,0.007487582,0.06818248,0.00029999996,0.20000005,0.004999999,1.0
