Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,3.5505126,208.9512195121951,-0.40296155,0.15436839782877973,0.15436839782877973,0.2909868,0.072905906,0.00029966768,0.19988923,0.0049944716,1.0
20000,3.5196726,222.1315789473684,-0.1648014,0.04882924694840501,0.04882924694840501,0.054327093,0.06399117,0.00029906828,0.19968945,0.004984502,1.0
30000,3.471449,250.1,-0.051930916,-0.0903158161397043,-0.0903158161397043,0.031243496,0.06640793,0.00029848237,0.19949412,0.0049747564,1.0
40000,3.5015907,213.13725490196077,-0.008244735,0.19247997522354127,0.19247997522354127,0.037054565,0.06526508,0.00029788728,0.19929574,0.004964858,1.0
50000,3.5033498,203.82,0.038388066,0.25626920708096945,0.25626920708096945,0.040239062,0.06606169,0.00029728448,0.19909483,0.0049548317,1.0
60000,3.4758852,179.33333333333334,0.07308433,0.41067998051643373,0.41067998051643373,0.0390712,0.06816402,0.00029669117,0.19889705,0.004944963,1.0
70000,3.435289,174.81034482758622,0.1646291,0.4025593055885727,0.4025593055885727,0.047925696,0.07366727,0.00029610697,0.19870234,0.004935246,1.0
80000,3.44457,176.8148148148148,0.14559162,0.42045452418652446,0.42045452418652446,0.03576353,0.065707535,0.00029550958,0.19850318,0.0049253087,1.0
90000,3.4157581,163.86764705882354,0.08353123,0.5006461368157313,0.5006461368157313,0.049123578,0.06287621,0.00029489683,0.19829895,0.004915117,1.0
100000,3.4129553,148.52941176470588,0.1876892,0.5656406086054631,0.5656406086054631,0.047358193,0.06450377,0.00029427034,0.19809012,0.0049046967,1.0
110000,3.3936753,157.9,0.20569138,0.4765245699491657,0.4765245699491657,0.041851357,0.07121561,0.00029367383,0.19789127,0.004894774,1.0
120000,3.4085958,170.82758620689654,0.14138359,0.4276833178475499,0.4276833178475499,0.039599463,0.06577715,0.00029308628,0.19769543,0.004885001,1.0
130000,3.3505158,149.0,0.19076012,0.608588217976777,0.608588217976777,0.050456606,0.067201465,0.00029250357,0.19750118,0.0048753084,1.0
140000,3.3299952,139.75,0.17194198,0.5812222078028653,0.5812222078028653,0.044603433,0.06906375,0.00029191625,0.19730541,0.00486554,1.0
150000,3.2970545,137.86486486486487,0.18913548,0.648082178035011,0.648082178035011,0.054792505,0.068001226,0.0002912994,0.19709979,0.00485528,1.0
160000,3.269728,167.50877192982455,0.19598521,0.4604426083750412,0.4604426083750412,0.050093435,0.07308558,0.0002906884,0.19689612,0.0048451163,1.0
170000,3.290537,154.19672131147541,0.18816589,0.5505333188300331,0.5505333188300331,0.04225992,0.076507,0.0002900879,0.19669597,0.004835128,1.0
180000,3.245317,164.44262295081967,0.12245018,0.43622579071069917,0.43622579071069917,0.042249843,0.06649406,0.00028949656,0.19649886,0.004825292,1.0
190000,3.263051,153.5079365079365,0.122530326,0.4619531114003621,0.4619531114003621,0.040938392,0.071655124,0.00028891102,0.19630367,0.0048155533,1.0
200000,3.2585979,163.4516129032258,0.08539652,0.4555499861637751,0.4555499861637751,0.04278521,0.06961691,0.00028830365,0.1961012,0.0048054503,1.0
210000,3.1958,158.0,0.095746055,0.487761181292694,0.487761181292694,0.044243917,0.068303615,0.00028769323,0.19589773,0.004795297,1.0
220000,3.1709867,143.94520547945206,0.27716488,0.6699722085355057,0.6699722085355057,0.043855358,0.06336853,0.00028710667,0.19570224,0.00478554,1.0
230000,3.1519897,135.5,0.2930169,0.6181095805886674,0.6181095805886674,0.043180354,0.06299366,0.00028649298,0.19549766,0.004775333,1.0
240000,3.208695,135.68115942028984,0.15526034,0.550318168194005,0.550318168194005,0.040363695,0.06280854,0.00028587115,0.19529037,0.004764989,1.0
250000,3.172716,126.51282051282051,0.2932382,0.6551829190788473,0.6551829190788473,0.044088785,0.062671505,0.00028527077,0.19509025,0.0047550034,1.0
260000,3.0673876,129.02597402597402,0.29287064,0.6692874882370233,0.6692874882370233,0.042138442,0.06509332,0.00028468462,0.19489487,0.0047452543,1.0
270000,3.0769916,124.2375,0.3438488,0.6972763080051855,0.6972763080051855,0.04176857,0.0631093,0.00028408357,0.19469452,0.004735256,1.0
280000,3.1531932,166.62295081967213,0.19853131,0.5056721189471541,0.5056721189471541,0.042963997,0.070141345,0.00028348752,0.19449584,0.004725342,1.0
290000,3.0837922,130.4931506849315,0.24412932,0.6034864773722114,0.6034864773722114,0.040450506,0.06748239,0.0002829062,0.19430205,0.004715672,1.0
300000,3.1026113,136.55405405405406,0.2597076,0.6418666582802931,0.6418666582802931,0.04292406,0.06722209,0.00028232214,0.19410738,0.0047059576,1.0
310000,3.027602,128.1851851851852,0.3083828,0.6672316993609434,0.6672316993609434,0.040557098,0.070974566,0.00028172668,0.19390887,0.0046960535,1.0
320000,2.9732084,110.6144578313253,0.33649778,0.7661071344766588,0.7661071344766588,0.0474549,0.059917085,0.00028112117,0.19370705,0.0046859817,1.0
330000,2.9223008,119.67901234567901,0.36225274,0.7470370273991132,0.7470370273991132,0.041354284,0.072561756,0.000280526,0.19350868,0.0046760826,1.0
340000,2.9568355,122.81176470588235,0.3245083,0.6865294061601162,0.6865294061601162,0.039585948,0.07270922,0.00027992958,0.19330984,0.0046661613,1.0
350000,2.7892556,118.37037037037037,0.28642896,0.74133333094694,0.74133333094694,0.04836251,0.07343507,0.00027933178,0.1931106,0.0046562185,1.0
360000,2.8392386,108.06382978723404,0.35805464,0.727851054016897,0.727851054016897,0.037639398,0.06655076,0.00027873277,0.19291092,0.0046462547,1.0
370000,2.8336866,110.91304347826087,0.36795488,0.7365999939954944,0.7365999939954944,0.04755148,0.069770545,0.00027813032,0.1927101,0.0046362337,1.0
380000,2.8234022,118.67948717948718,0.35278153,0.7142784748745116,0.7142784748745116,0.03207014,0.06403056,0.00027752278,0.19250758,0.0046261284,1.0
390000,2.8847,125.08988764044943,0.30100566,0.7205999926609151,0.7205999926609151,0.03918227,0.07292996,0.00027690054,0.19230017,0.0046157786,1.0
400000,2.7118413,103.48421052631579,0.4077287,0.7610850997189892,0.7610850997189892,0.04664547,0.0704615,0.0002762831,0.19209439,0.004605509,1.0
410000,2.6819184,99.01052631578948,0.39313972,0.80286457707795,0.80286457707795,0.042463407,0.07193596,0.00027566578,0.1918886,0.00459524,1.0
420000,2.6718493,102.79381443298969,0.37994936,0.7762599950656295,0.7762599950656295,0.04232202,0.068722144,0.0002750793,0.19169311,0.0045854854,1.0
430000,2.6221688,104.08695652173913,0.41720468,0.7725212737283809,0.7725212737283809,0.03642356,0.06592402,0.00027449973,0.1914999,0.004575845,1.0
440000,2.6861327,115.48192771084338,0.3080745,0.6999753054093432,0.6999753054093432,0.03884368,0.07284651,0.0002738844,0.19129479,0.0045656096,1.0
450000,2.6745644,109.29347826086956,0.32378557,0.737336953656505,0.737336953656505,0.047048472,0.06453171,0.00027328625,0.19109543,0.004555661,1.0
460000,2.6100645,107.58947368421053,0.34375015,0.7545111089944839,0.7545111089944839,0.044810195,0.067363046,0.00027267914,0.19089302,0.0045455624,1.0
470000,2.659062,111.04651162790698,0.3741991,0.7660111066781812,0.7660111066781812,0.03781187,0.07484894,0.00027208592,0.1906953,0.0045356955,1.0
480000,2.5393095,133.5068493150685,0.28746423,0.660739716142416,0.660739716142416,0.035700023,0.064852715,0.00027149185,0.1904973,0.0045258147,1.0
490000,2.5301187,117.5764705882353,0.3365556,0.7631904689062919,0.7631904689062919,0.0383931,0.063981004,0.00027089374,0.1902979,0.004515866,1.0
500000,2.5231922,119.88372093023256,0.35253328,0.6850697609574296,0.6850697609574296,0.043328185,0.06503506,0.00027029845,0.19009948,0.004505964,1.0
510000,2.224613,93.8,0.4302832,0.8356421968874035,0.8356421968874035,0.046669357,0.06919817,0.0002697166,0.18990552,0.0044962857,1.0
520000,2.3144958,104.91089108910892,0.4210806,0.8141919148690773,0.8141919148690773,0.041224692,0.07074538,0.00026911404,0.18970469,0.0044862633,1.0
530000,2.2607262,88.29464285714286,0.48718467,0.8510841107883743,0.8510841107883743,0.034227237,0.06906381,0.0002684937,0.18949789,0.004475945,1.0
540000,2.318532,105.27777777777777,0.44352692,0.7865454481745308,0.7865454481745308,0.034974385,0.06523238,0.00026787556,0.18929183,0.004465663,1.0
550000,2.2217467,92.24324324324324,0.4920942,0.8505739109347696,0.8505739109347696,0.041576236,0.069666535,0.00026728323,0.18909441,0.0044558104,1.0
560000,2.2794302,101.20879120879121,0.44148666,0.8203111031817065,0.8203111031817065,0.034381494,0.06778656,0.00026669653,0.18889885,0.004446052,1.0
570000,2.3157516,96.09183673469387,0.4754539,0.8329038405432724,0.8329038405432724,0.03667289,0.060790963,0.00026610697,0.18870232,0.004436245,1.0
580000,2.3057745,103.53,0.47839016,0.8276199945434928,0.8276199945434928,0.033562437,0.06462971,0.00026550711,0.18850237,0.004426268,1.0
590000,2.3048558,98.55263157894737,0.46581164,0.8544571402172247,0.8544571402172247,0.037357196,0.0703285,0.00026490726,0.18830238,0.00441629,1.0
600000,2.222594,84.47008547008546,0.52210426,0.8837562998553284,0.8837562998553284,0.031822212,0.07016722,0.00026428598,0.18809532,0.0044059562,1.0
610000,2.2077038,90.43564356435644,0.52657014,0.86612036810429,0.86612036810429,0.03579492,0.07434666,0.00026371374,0.18790457,0.0043964377,1.0
620000,2.1544292,81.47457627118644,0.53532684,0.8534745703751253,0.8534745703751253,0.036720052,0.06462021,0.00026312956,0.18770984,0.004386721,1.0
630000,2.2860358,106.30337078651685,0.43579224,0.8088426943240541,0.8088426943240541,0.033042803,0.06753573,0.00026251943,0.18750647,0.004376573,1.0
640000,2.0660832,80.54285714285714,0.52619064,0.8676590889014981,0.8676590889014981,0.03844483,0.072455876,0.0002619131,0.18730439,0.004366488,1.0
650000,2.0855157,80.56637168141593,0.56266725,0.9022241362595352,0.9022241362595352,0.030295977,0.061325364,0.0002613107,0.18710354,0.004356467,1.0
660000,2.1239681,96.99074074074075,0.48872694,0.8330660355540941,0.8330660355540941,0.032238856,0.068405315,0.000260716,0.18690532,0.004346576,1.0
670000,2.1243174,86.11881188118812,0.5092523,0.889435183774266,0.889435183774266,0.03210509,0.065338336,0.00026010856,0.18670285,0.004336471,1.0
680000,2.2316856,91.35833333333333,0.482882,0.8190720710936967,0.8190720710936967,0.034645457,0.065678015,0.0002594972,0.18649904,0.004326303,1.0
690000,2.1682904,96.04716981132076,0.5111315,0.8528571395269994,0.8528571395269994,0.03213071,0.07963985,0.00025889796,0.18629931,0.0043163346,1.0
700000,2.0829852,74.32558139534883,0.5284895,0.8945546864706557,0.8945546864706557,0.033807054,0.06721583,0.000258316,0.18610534,0.004306656,1.0
710000,2.1201556,86.89908256880734,0.53665596,0.8808818122541363,0.8808818122541363,0.03027004,0.06635862,0.00025769754,0.18589918,0.004296368,1.0
720000,2.1053078,90.70434782608696,0.5408161,0.8433391272373821,0.8433391272373821,0.033572644,0.06714182,0.00025710274,0.18570091,0.0042864755,1.0
730000,2.0415738,90.73076923076923,0.52091587,0.8668971931405156,0.8668971931405156,0.029418983,0.06327783,0.00025649264,0.18549755,0.0042763273,1.0
740000,2.0908706,85.19047619047619,0.47768056,0.8553333326109818,0.8553333326109818,0.033339724,0.07089251,0.0002559264,0.1853088,0.0042669084,1.0
750000,2.1952326,93.75238095238095,0.44134194,0.8512499962145319,0.8512499962145319,0.037554782,0.06908473,0.00025532453,0.18510816,0.0042568976,1.0
760000,2.128687,98.25,0.4766192,0.8039272722872821,0.8039272722872821,0.028562356,0.068311475,0.0002547092,0.18490306,0.004246662,1.0
770000,2.0284336,79.85950413223141,0.5628312,0.8651774172641097,0.8651774172641097,0.026133658,0.06193591,0.00025407597,0.18469198,0.00423613,1.0
780000,2.0592065,94.23148148148148,0.51680857,0.8254230719489547,0.8254230719489547,0.027188003,0.06785107,0.00025347914,0.18449304,0.0042262026,1.0
790000,2.050071,83.62608695652175,0.5311662,0.8699565195518991,0.8699565195518991,0.03487007,0.06428331,0.00025287873,0.18429293,0.0042162165,1.0
800000,2.0547693,92.97196261682242,0.5268545,0.8593214247043112,0.8593214247043112,0.032793686,0.06530236,0.0002523008,0.18410026,0.0042066025,1.0
810000,1.9997323,80.71794871794872,0.55994433,0.8918916644838949,0.8918916644838949,0.031879026,0.06571061,0.0002517193,0.18390642,0.00419693,1.0
820000,1.9021112,81.47457627118644,0.5641784,0.874542373911304,0.874542373911304,0.029798154,0.06553221,0.0002511271,0.18370906,0.0041870805,1.0
830000,1.804495,84.26923076923077,0.53445625,0.8883781504480779,0.8883781504480779,0.031549655,0.065150306,0.0002504992,0.18349974,0.004176636,1.0
840000,1.7255644,78.2396694214876,0.56468844,0.8933467727394835,0.8933467727394835,0.030639132,0.061295517,0.0002498719,0.18329062,0.0041662026,1.0
