Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.4041986,6.448994787788533,0.2058858,0.2580924001020961,0.2580924001020961,0.1011826,0.24582526,0.00029694563,0.19898188,0.0004950112,1.0
20000,1.3748007,5.841997264021888,0.4262864,0.44535592095717635,0.44535592095717635,0.07318616,0.24096073,0.00029102646,0.1970088,0.00048534307,1.0
30000,1.3405303,5.710932260228035,0.49581677,0.5323957079087835,0.5323957079087835,0.07984018,0.24683751,0.00028499644,0.1949988,0.0004754941,1.0
40000,1.3104235,5.986750348675035,0.7362409,0.756878410651987,0.756878410651987,0.08158277,0.24066685,0.00027899488,0.19299832,0.0004656916,1.0
50000,1.2828858,6.0665251238499645,0.86883855,0.8714540366156164,0.8714540366156164,0.07829649,0.24247515,0.00027298866,0.19099621,0.00045588147,1.0
60000,1.2807903,5.925155925155925,0.87710977,0.8977923935997884,0.8977923935997884,0.06735919,0.24049915,0.0002670178,0.18900593,0.00044612898,1.0
70000,1.2729952,5.805177111716621,0.88334197,0.8974302303068336,0.8974302303068336,0.06434357,0.24239117,0.00026103057,0.1870102,0.0004363499,1.0
80000,1.2543452,6.011913104414856,0.8673755,0.89290603702048,0.89290603702048,0.060724627,0.23584878,0.00025499918,0.18499975,0.00042649862,1.0
90000,1.257722,5.7792032410533425,0.8871192,0.9155542060529667,0.9155542060529667,0.0590586,0.24669376,0.00024899567,0.18299857,0.0004166929,1.0
100000,1.2740896,5.6635451505016725,0.91448617,0.9356086722680678,0.9356086722680678,0.041908514,0.24497202,0.0002429756,0.18099186,0.00040686014,1.0
110000,1.2794058,5.763353617308993,0.89942014,0.9184334071543876,0.9184334071543876,0.052111298,0.2430167,0.0002369878,0.1789959,0.00039708,1.0
120000,1.2631176,5.847840986977382,0.88589835,0.9077643891892951,0.9077643891892951,0.058235217,0.23845471,0.00023101797,0.17700598,0.0003873293,1.0
130000,1.2805146,5.871056241426611,0.8617983,0.8855082469833708,0.8855082469833708,0.07151153,0.23852359,0.00022501507,0.17500497,0.00037752456,1.0
140000,1.2795193,5.915512465373961,0.8590499,0.8853218045564221,0.8853218045564221,0.064561345,0.23717369,0.00021900483,0.17300159,0.00036770778,1.0
150000,1.264782,5.854009595613434,0.86926526,0.895416443592754,0.895416443592754,0.06434216,0.23967527,0.00021302151,0.17100717,0.0003579351,1.0
160000,1.2555805,5.842896174863388,0.8865548,0.913252744863403,0.913252744863403,0.05505003,0.24007584,0.00020698528,0.16899505,0.0003480758,1.0
170000,1.269795,5.6882510013351135,0.9131248,0.9360541862459,0.9360541862459,0.0429009,0.2432889,0.00020096559,0.16698852,0.0003382437,1.0
180000,1.2868073,5.718707940780619,0.903642,0.9230261973092548,0.9230261973092548,0.04680972,0.2422938,0.00019497909,0.16499302,0.00032846577,1.0
190000,1.2891624,5.555992141453831,0.91232216,0.939347974677356,0.939347974677356,0.041227277,0.24122326,0.00018897654,0.16299216,0.00031866156,1.0
200000,1.2982641,5.446959896507115,0.9120485,0.9351747321866531,0.9351747321866531,0.03971223,0.2371848,0.000182988,0.16099598,0.0003088803,1.0
210000,1.3000942,5.527071102413569,0.8868651,0.9075114355677438,0.9075114355677438,0.051408462,0.23609558,0.00017703557,0.15901184,0.000299158,1.0
220000,1.3001808,5.54158480681074,0.892377,0.9113152441817645,0.9113152441817645,0.047688007,0.24278091,0.00017102936,0.15700975,0.00028934787,1.0
230000,1.2992674,5.626905235255136,0.8537211,0.8749701838445559,0.8749701838445559,0.057623554,0.24057229,0.00016500683,0.15500225,0.00027951103,1.0
240000,1.293992,5.5437908496732025,0.8591376,0.8844748254830537,0.8844748254830537,0.05539331,0.24248864,0.00015900904,0.15300299,0.00026971466,1.0
250000,1.3003658,5.50814332247557,0.8512411,0.871318363826731,0.871318363826731,0.058867704,0.23515655,0.00015300681,0.15100226,0.000259911,1.0
