Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,3.5714438,134.91666666666666,-0.30694607,0.26449165989955264,0.26449165989955264,0.046650227,0.10365327,0.00029969466,0.19989821,0.004994921,1.0
20000,3.5767224,395.75,-0.43282413,-1.0342999696731567,-1.0342999696731567,0.0157015,0.08959874,0.00029912477,0.19970824,0.004985442,1.0
30000,3.5571966,794.8846153846154,-0.40502015,-3.8063153452598133,-3.8063153452598133,0.019571219,0.09138204,0.00029849578,0.1994986,0.0049749794,1.0
40000,3.5397296,423.0,-0.42981434,-1.4815499793205942,-1.4815499793205942,0.040584467,0.08882126,0.00029790506,0.1993017,0.004965154,1.0
50000,3.5299873,586.5833333333334,-0.43958595,-2.4114916746815047,-2.4114916746815047,0.022911934,0.09048223,0.000297282,0.19909401,0.0049547907,1.0
60000,3.5520697,771.9375,-0.45300752,-3.8896374832838774,-3.8896374832838774,0.017505955,0.09748664,0.00029668983,0.19889662,0.0049449406,1.0
70000,3.5642884,704.2,-0.48746625,-3.149569998681545,-3.149569998681545,0.015023652,0.09257645,0.00029611128,0.19870377,0.004935317,1.0
80000,3.5641751,680.32,-0.42654562,-2.657185007631779,-2.657185007631779,0.026875809,0.0914994,0.0002955032,0.19850105,0.004925203,1.0
90000,3.517614,367.6666666666667,-0.40815178,-2.0349695501120193,-2.0349695501120193,0.03451269,0.097355746,0.0002948939,0.19829796,0.0049150675,1.0
100000,3.5472546,573.3076923076923,-0.37667856,-2.111774983505408,-2.111774983505408,0.022165397,0.094394624,0.00029430326,0.19810109,0.004905243,1.0
110000,3.5488145,736.4117647058823,-0.46108353,-3.321277764108446,-3.321277764108446,0.016692542,0.08160789,0.00029370634,0.19790211,0.004895315,1.0
120000,3.528131,746.1176470588235,-0.42739302,-3.407741167966057,-3.407741167966057,0.026430212,0.08822981,0.0002930953,0.19769843,0.004885152,1.0
130000,3.5354042,421.25,-0.38840008,-1.3556750044226646,-1.3556750044226646,0.026476618,0.09752528,0.00029251154,0.19750382,0.0048754415,1.0
140000,3.5290887,790.7142857142857,-0.44715127,-3.8223071609224593,-3.8223071609224593,0.014435273,0.08972165,0.0002919004,0.19730014,0.0048652766,1.0
150000,3.5464113,636.3529411764706,-0.44380003,-2.7741941301261677,-2.7741941301261677,0.024527732,0.09439459,0.0002913087,0.1971029,0.004855435,1.0
160000,3.5421035,767.3,-0.47904056,-3.644480015337467,-3.644480015337467,0.008299018,0.09427793,0.0002907057,0.1969019,0.004845404,1.0
170000,3.5438673,724.0714285714286,-0.40954977,-3.184107187603201,-3.184107187603201,0.01848303,0.09481943,0.00029009918,0.19669971,0.0048353164,1.0
180000,3.5541441,839.1333333333333,-0.40965277,-3.8647466619809467,-3.8647466619809467,0.022758136,0.09299488,0.0002895147,0.19650489,0.004825594,1.0
190000,3.552147,618.6363636363636,-0.4440208,-2.4561727277257224,-2.4561727277257224,0.023042636,0.0919636,0.00028890301,0.19630101,0.004815419,1.0
200000,3.546228,639.5238095238095,-0.37653583,-2.9449099972844124,-2.9449099972844124,0.018038206,0.09432099,0.0002883139,0.19610465,0.004805621,1.0
210000,3.5553725,622.1538461538462,-0.44518396,-2.4967642948031425,-2.4967642948031425,0.019033741,0.090668246,0.00028769844,0.19589949,0.004795384,1.0
220000,3.5591328,624.4705882352941,-0.41310933,-2.6455176490194656,-2.6455176490194656,0.03612972,0.09401088,0.00028710344,0.19570112,0.004785486,1.0
230000,3.5564184,696.9411764705883,-0.39332104,-3.1017646938562393,-3.1017646938562393,0.02351841,0.0877312,0.00028648827,0.1954961,0.0047752545,1.0
240000,3.545506,572.7142857142857,-0.40552324,-2.184749980057989,-2.184749980057989,0.025607737,0.08827531,0.00028590034,0.19530012,0.0047654756,1.0
250000,3.5368116,694.4666666666667,-0.40845817,-2.9127499695335115,-2.9127499695335115,0.01894238,0.09373778,0.0002853,0.19510001,0.00475549,1.0
260000,3.5417342,747.7692307692307,-0.3913374,-3.480707121746881,-3.480707121746881,0.022485659,0.089545056,0.00028470348,0.19490115,0.0047455677,1.0
270000,3.5426142,755.3846153846154,-0.4532675,-3.470830739690707,-3.470830739690707,0.011092724,0.09359846,0.0002841022,0.19470075,0.004735566,1.0
280000,3.523115,572.0,-0.36365303,-2.361978944979216,-2.361978944979216,0.030005617,0.09018449,0.0002835116,0.19450386,0.004725742,1.0
290000,3.5064626,735.0833333333334,-0.4477801,-3.39924164613088,-3.39924164613088,0.00892382,0.09555076,0.00028291758,0.19430585,0.0047158613,1.0
300000,3.447095,503.8235294117647,-0.33927047,-1.8271764104857164,-1.8271764104857164,0.04529941,0.092378154,0.00028228704,0.1940957,0.0047053746,1.0
310000,3.4358518,738.7777777777778,-0.39629868,-3.3174277361896305,-3.3174277361896305,0.019201081,0.09362432,0.00028171935,0.19390644,0.0046959314,1.0
320000,3.470762,493.8125,-0.383707,-1.7958499509841204,-1.7958499509841204,0.028281204,0.092219144,0.00028109315,0.1936977,0.0046855155,1.0
330000,3.4957728,645.875,-0.40521932,-2.7680937200784683,-2.7680937200784683,0.019290194,0.086093575,0.00028048074,0.19349357,0.0046753297,1.0
340000,3.4877105,617.421052631579,-0.38748956,-2.7837166090806327,-2.7837166090806327,0.03813353,0.097970404,0.00027991287,0.19330427,0.004665883,1.0
350000,3.4665282,638.8461538461538,-0.43849266,-2.6425642541476657,-2.6425642541476657,0.020624753,0.09291179,0.00027929837,0.19309947,0.0046556625,1.0
360000,3.43903,837.7777777777778,-0.49611202,-4.336549963802099,-4.336549963802099,0.006854394,0.092895605,0.0002787017,0.19290058,0.0046457383,1.0
370000,3.4271343,689.1764705882352,-0.44424504,-3.5311562018468976,-3.5311562018468976,0.015475178,0.08939692,0.00027810482,0.1927016,0.0046358104,1.0
380000,3.4219918,802.7777777777778,-0.43325832,-3.6134949438273907,-3.6134949438273907,0.018029314,0.08933157,0.0002774903,0.19249676,0.004625588,1.0
390000,3.4830372,473.1111111111111,-0.4467618,-1.5219999816682603,-1.5219999816682603,0.023905938,0.092616186,0.00027690968,0.19230323,0.004615931,1.0
400000,3.4402785,824.0,-0.3829333,-4.070528544485569,-4.070528544485569,0.012446899,0.09441762,0.00027628144,0.19209383,0.0046054814,1.0
410000,3.376648,700.0625,-0.44531167,-3.294324966147542,-3.294324966147542,0.02232665,0.08788393,0.000275698,0.19189934,0.004595776,1.0
420000,3.4066782,758.6666666666666,-0.43848324,-3.4438666589558125,-3.4438666589558125,0.018016366,0.09001859,0.0002750782,0.19169275,0.0045854673,1.0
430000,3.3912764,620.0666666666667,-0.38552988,-2.4738999967064177,-2.4738999967064177,0.02366861,0.08914961,0.00027450875,0.19150291,0.0045759953,1.0
440000,3.3000598,583.8571428571429,-0.36785227,-2.4719047652823583,-2.4719047652823583,0.033751976,0.09478865,0.00027389775,0.19129924,0.004565832,1.0
450000,3.2759495,634.7142857142857,-0.41113377,-2.946593383948008,-2.946593383948008,0.026105238,0.08872788,0.0002732898,0.19109657,0.00455572,1.0
460000,3.3094912,759.5454545454545,-0.50806224,-3.8313600435853004,-3.8313600435853004,0.013630365,0.08732943,0.00027270094,0.19090031,0.0045459247,1.0
470000,3.323872,546.4615384615385,-0.30527785,-2.290762996783963,-2.290762996783963,0.043880794,0.08819207,0.00027211357,0.19070452,0.0045361556,1.0
480000,3.2679868,510.42105263157896,-0.3631543,-1.969831575688563,-1.969831575688563,0.040208135,0.092984736,0.00027150245,0.19050081,0.0045259898,1.0
490000,3.2732222,540.7142857142857,-0.42488256,-1.7544916582604249,-1.7544916582604249,0.018723914,0.09191471,0.00027091347,0.19030449,0.004516193,1.0
500000,3.2324162,486.69565217391306,-0.4263223,-2.1893639850616453,-2.1893639850616453,0.032310285,0.09203543,0.0002702895,0.19009648,0.004505815,1.0
510000,3.1728814,750.7,-0.51422626,-3.915179988741875,-3.915179988741875,0.017282635,0.091656,0.0002696877,0.1898959,0.004495805,1.0
520000,3.1651893,949.0,-0.5103621,-5.328388861483997,-5.328388861483997,0.0057710405,0.08464458,0.00026910275,0.1897009,0.004486075,1.0
530000,3.0769954,999.0,-0.52100873,-5.507308303068082,-5.507308303068082,0.00034020707,0.0926162,0.00026851104,0.18950367,0.004476233,1.0
540000,3.158401,925.7,-0.5001283,-5.170457160898617,-5.170457160898617,0.0003512474,0.09243741,0.00026788755,0.18929584,0.0044658626,1.0
550000,3.2100048,865.6923076923077,-0.463933,-4.080393352111181,-4.080393352111181,0.009285246,0.09465224,0.00026728708,0.18909569,0.0044558747,1.0
560000,3.0738733,999.0,-0.49285594,-5.040950009226799,-5.040950009226799,0.00037066126,0.08967428,0.00026671716,0.18890572,0.004446395,1.0
570000,2.875778,895.3333333333334,-0.49663645,-4.314250033348799,-4.314250033348799,0.00056280516,0.097042814,0.00026609158,0.18869719,0.00443599,1.0
580000,2.8132007,924.6153846153846,-0.48541036,-4.590785809925625,-4.590785809925625,0.004905785,0.08908544,0.0002655022,0.18850073,0.004426186,1.0
