Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.5146961,2.6494458,0.89164263,0.06676716,0.00029967076,0.19989027,0.0049945237,287.10714285714283,0.00955555912245203,0.00955555912245203,1.0
20000,3.445079,1.0006546,0.31579947,0.06668986,0.0002990656,0.19968854,0.004984457,228.0,-0.6104523742216683,-0.6104523742216683,1.0
30000,3.3723192,-0.061905634,0.04440507,0.07520588,0.00029850818,0.19950272,0.0049751857,214.53061224489795,-0.7522708294369901,-0.7522708294369901,1.0
40000,3.3868077,-0.15713166,0.016286585,0.06965543,0.00029791208,0.19930403,0.004965271,237.05128205128204,-0.3359499932499602,-0.3359499932499602,1.0
50000,3.4109218,-0.0013315096,0.009044175,0.07353765,0.0002973051,0.1991017,0.0049551744,276.4166666666667,0.08377144017389843,0.08377144017389843,1.0
60000,3.397675,0.08043717,0.013818,0.07052516,0.0002966955,0.1988985,0.004945035,264.5135135135135,0.35247369252733496,0.35247369252733496,1.0
70000,3.3631563,0.2277571,0.019208197,0.064771794,0.00029608613,0.19869538,0.004934899,242.4090909090909,0.5592619189105573,0.5592619189105573,1.0
80000,3.3242092,0.17870045,0.025545008,0.062071748,0.00029547463,0.19849154,0.0049247276,251.8918918918919,0.5426756812611947,0.5426756812611947,1.0
90000,3.3108861,0.18168305,0.023665091,0.062165696,0.00029489995,0.19829999,0.0049151694,221.8181818181818,0.618065226742107,0.618065226742107,1.0
100000,3.3378901,0.2701152,0.03454968,0.07170692,0.00029429136,0.19809714,0.0049050464,170.5076923076923,0.8291475440024353,0.8291475440024353,1.0
110000,3.3329616,0.19770825,0.038635034,0.06770107,0.00029367243,0.1978908,0.0048947507,198.09803921568627,0.8050000059797808,0.8050000059797808,1.0
120000,3.2503474,0.22378571,0.040268216,0.07122472,0.0002930794,0.19769314,0.0048848875,174.28333333333333,0.7893158029111331,0.7893158029111331,1.0
130000,3.221901,0.3053499,0.035402335,0.068217784,0.00029247598,0.197492,0.00487485,160.68333333333334,0.9304687662806828,0.9304687662806828,1.0
140000,3.1283584,0.317899,0.030347303,0.06866601,0.00029190636,0.1973021,0.0048653753,147.703125,0.9145312535110861,0.9145312535110861,1.0
150000,3.2254763,0.38722104,0.027171815,0.06608088,0.00029130434,0.19710144,0.0048553618,156.89705882352942,0.8612380961458834,0.8612380961458834,1.0
160000,3.209551,0.3543565,0.0332853,0.07006034,0.0002907003,0.1969001,0.0048453147,145.76119402985074,0.8895606170267318,0.8895606170267318,1.0
170000,3.1345537,0.38950542,0.034461576,0.067749694,0.00029009845,0.19669949,0.004835304,117.855421686747,0.8702988583037908,0.8702988583037908,1.0
180000,3.1900377,0.37769437,0.027062438,0.06686244,0.0002894745,0.1964915,0.0048249257,136.10666666666665,0.8419436711135885,0.8419436711135885,1.0
190000,3.170046,0.22882274,0.030063458,0.068437085,0.00028887865,0.19629288,0.004815014,176.64285714285714,0.748559332279078,0.748559332279078,1.0
200000,3.0791116,0.30994958,0.032594018,0.067907125,0.00028828968,0.19609655,0.004805219,128.47297297297297,0.9394000071287155,0.9394000071287155,1.0
210000,3.1194243,0.31547454,0.030268312,0.07223992,0.0002876884,0.19589612,0.004795216,136.59154929577466,0.8715915576567952,0.8715915576567952,1.0
220000,3.1360157,0.31213376,0.03592123,0.06315846,0.00028710644,0.19570214,0.004785537,142.92105263157896,0.8322000101474779,0.8322000101474779,1.0
230000,3.1325703,0.4153571,0.033359274,0.07005783,0.00028651202,0.19550401,0.004775649,134.75,0.9570294073235024,0.9570294073235024,1.0
240000,3.0578759,0.44910443,0.027656808,0.06424123,0.00028590026,0.19530007,0.0047654733,120.55102040816327,0.9011111242489682,0.9011111242489682,1.0
250000,3.1035504,0.35018292,0.035077672,0.06736799,0.00028528195,0.19509399,0.0047551896,128.13888888888889,0.916078956797719,0.916078956797719,1.0
260000,3.0674386,0.44655892,0.026565962,0.06240797,0.00028468762,0.19489586,0.0047453037,108.74489795918367,0.9312244963699153,0.9312244963699153,1.0
270000,3.0240195,0.4818385,0.026399057,0.06594561,0.00028409014,0.1946967,0.0047353655,102.68888888888888,0.9849213458848803,0.9849213458848803,1.0
280000,2.9686117,0.46595243,0.027987374,0.06515269,0.00028349424,0.19449808,0.004725454,113.20454545454545,0.936617987858278,0.936617987858278,1.0
290000,3.0181537,0.43606925,0.02710935,0.066229895,0.00028287608,0.19429202,0.0047151716,133.13333333333333,0.8961168848848963,0.8961168848848963,1.0
300000,2.8685439,0.48269728,0.026988301,0.069895655,0.00028228367,0.19409455,0.004705318,100.19101123595506,0.9788764083988211,0.9788764083988211,1.0
310000,2.911683,0.3774871,0.03134311,0.063846,0.00028169967,0.1938999,0.004695604,128.36708860759492,0.8830249979859218,0.8830249979859218,1.0
320000,2.8232844,0.4492874,0.033694576,0.070248,0.0002811031,0.19370103,0.0046856813,119.15789473684211,0.9360322688295636,0.9360322688295636,1.0
330000,2.8823159,0.37212768,0.03322467,0.06491899,0.0002804988,0.19349961,0.0046756295,126.27848101265823,0.9481500037480146,0.9481500037480146,1.0
340000,2.7906725,0.5336043,0.028729081,0.07010441,0.0002798945,0.19329816,0.0046655782,95.03883495145631,1.006696974557608,1.006696974557608,1.0
350000,2.7658625,0.43137538,0.03104852,0.066978976,0.0002792941,0.19309802,0.004655591,108.31818181818181,0.9604468166114802,0.9604468166114802,1.0
360000,2.6681316,0.5079421,0.031404853,0.06724653,0.0002786968,0.19289893,0.004645657,89.57281553398059,1.0104174801483028,1.0104174801483028,1.0
370000,2.6805341,0.4529142,0.030012183,0.06848151,0.0002780947,0.19269823,0.0046356414,102.32075471698113,0.9590396067809941,0.9590396067809941,1.0
380000,2.6326756,0.4965271,0.031240039,0.06304027,0.00027749932,0.19249979,0.004625738,103.4421052631579,0.9601578951862297,0.9601578951862297,1.0
390000,2.606938,0.52989155,0.03090574,0.06874899,0.00027691378,0.19230458,0.004615999,85.44144144144144,1.0132086969912053,1.0132086969912053,1.0
400000,2.612027,0.51309025,0.030710928,0.062998444,0.00027631843,0.19210616,0.0046060965,92.39622641509433,0.996766356368349,0.996766356368349,1.0
410000,2.5757208,0.59473777,0.023572093,0.07134262,0.00027569663,0.19189888,0.0045957537,79.43442622950819,1.0165378090635944,1.0165378090635944,1.0
420000,2.5924988,0.5086361,0.033354774,0.05926666,0.0002750969,0.19169897,0.0045857783,90.54385964912281,0.9724954980601733,0.9724954980601733,1.0
430000,2.6008627,0.516928,0.029643727,0.06788979,0.00027450206,0.19150066,0.0045758835,101.67924528301887,1.0062857201589006,1.0062857201589006,1.0
440000,2.5624878,0.555279,0.028663296,0.07112715,0.00027390613,0.19130205,0.0045659714,89.53846153846153,1.0042454601180824,1.0042454601180824,1.0
450000,2.557606,0.6106367,0.02803541,0.06928792,0.00027331914,0.19110638,0.004556208,70.78195488721805,1.035231344012627,1.035231344012627,1.0
460000,2.5277236,0.5368017,0.023796456,0.066604264,0.00027269748,0.19089916,0.004545868,87.63333333333334,0.9855486767745651,0.9855486767745651,1.0
470000,2.5094564,0.5667222,0.025798611,0.06727825,0.00027209643,0.19069879,0.0045358697,81.2439024390244,0.9904047633033424,0.9904047633033424,1.0
480000,2.5690148,0.5479024,0.024770858,0.06819547,0.00027150282,0.19050092,0.0045259963,88.10185185185185,0.9736607178846108,0.9736607178846108,1.0
490000,2.403314,0.5150842,0.028093258,0.06943857,0.00027091106,0.19030368,0.0045161536,90.40186915887851,0.9731588799628281,0.9731588799628281,1.0
500000,2.2878962,0.48781678,0.03529845,0.06501779,0.00027031344,0.19010447,0.0045062127,82.74166666666666,0.9971916649024933,0.9971916649024933,1.0
510000,2.3063126,0.5520495,0.03257607,0.069218785,0.00026970543,0.18990181,0.0044961,78.38524590163935,1.0010000006830106,1.0010000006830106,1.0
520000,2.1281934,0.5226759,0.030673683,0.07311757,0.00026911168,0.18970388,0.0044862237,84.78333333333333,0.9904786333059653,0.9904786333059653,1.0
530000,2.1867533,0.6060048,0.026283117,0.071629584,0.00026850833,0.18950278,0.004476188,82.48818897637796,1.0120162594972588,1.0120162594972588,1.0
540000,2.1341836,0.60990006,0.02538513,0.069797955,0.00026789852,0.18929951,0.0044660447,72.0909090909091,1.0328846127797777,1.0328846127797777,1.0
550000,2.0768054,0.61433166,0.02519057,0.06871121,0.00026728498,0.18909499,0.00445584,73.0774647887324,1.0164513897357716,1.0164513897357716,1.0
560000,2.1646476,0.5815857,0.02597978,0.06565684,0.00026669013,0.1888967,0.004445945,79.5702479338843,1.0198347131560042,1.0198347131560042,1.0
570000,2.2125504,0.61598843,0.024742093,0.05865356,0.00026609437,0.18869813,0.004436036,72.5703125,1.0186564871714314,1.0186564871714314,1.0
580000,2.0481617,0.5747944,0.02953327,0.0621335,0.00026548703,0.18849567,0.0044259336,73.77777777777777,1.00686013807992,1.00686013807992,1.0
590000,2.06963,0.55498254,0.026146345,0.067014,0.00026488738,0.18829578,0.0044159596,78.5,1.0256269765086472,1.0256269765086472,1.0
600000,2.0464082,0.6532579,0.023784103,0.06555328,0.0002642699,0.18808998,0.004405689,64.57961783439491,1.0343154348032986,1.0343154348032986,1.0
610000,2.0428252,0.6165772,0.022919353,0.0678533,0.00026367957,0.18789318,0.00439587,73.5,1.0205075808970088,1.0205075808970088,1.0
620000,2.0252492,0.626011,0.021250471,0.06791676,0.00026309525,0.18769841,0.0043861507,72.704,1.0154029759508905,1.0154029759508905,1.0
630000,2.0270758,0.58621204,0.02748709,0.073735654,0.0002625122,0.18750405,0.004376453,78.69117647058823,1.0152313442928578,1.0152313442928578,1.0
640000,2.0983672,0.53340197,0.028334614,0.066641614,0.00026191902,0.18730634,0.0043665865,83.42592592592592,0.9649909058755094,0.9649909058755094,1.0
650000,2.027258,0.51607186,0.028397849,0.06719373,0.00026131805,0.18710603,0.0043565906,79.67768595041322,0.9777355369195835,0.9777355369195835,1.0
660000,1.978894,0.6318818,0.023446003,0.064582765,0.0002607114,0.18690377,0.0043464988,72.3758389261745,1.021006845052622,1.021006845052622,1.0
670000,2.016697,0.60950375,0.027859025,0.06377907,0.00026009974,0.18669993,0.004336325,68.35664335664336,1.0200839146476735,1.0200839146476735,1.0
680000,1.9552736,0.57701683,0.027964748,0.072183475,0.00025949365,0.18649787,0.004326245,73.23809523809524,0.9981679955869913,0.9981679955869913,1.0
690000,1.921034,0.47409415,0.028037421,0.065783285,0.00025888864,0.1862962,0.0043161805,87.512,0.9571707243008948,0.9571707243008948,1.0
700000,1.9229714,0.5936825,0.031758808,0.07408698,0.0002583107,0.18610355,0.004306567,76.0,1.0063615371831334,1.0063615371831334,1.0
710000,1.8878316,0.5780151,0.028504828,0.06811655,0.00025773124,0.1859104,0.004296929,77.3731343283582,1.0089007645902288,1.0089007645902288,1.0
720000,1.8425407,0.6527939,0.024166977,0.07121665,0.00025710213,0.18570073,0.0042864652,70.52380952380952,1.0282230212373271,1.0282230212373271,1.0
730000,1.7505453,0.67120165,0.02029551,0.06769102,0.00025647905,0.185493,0.004276101,66.24305555555556,1.0398648625768319,1.0398648625768319,1.0
740000,1.7699887,0.6834528,0.02071204,0.06596754,0.00025588172,0.18529388,0.0042661647,59.13513513513514,1.0335866640259823,1.0335866640259823,1.0
750000,1.8446983,0.5648223,0.02554261,0.064497404,0.00025528774,0.1850959,0.0042562853,76.70588235294117,0.9900434750226744,0.9900434750226744,1.0
760000,2.012268,0.64754343,0.020492487,0.06047216,0.00025470363,0.18490121,0.0042465697,68.94927536231884,1.016780132758068,1.016780132758068,1.0
770000,1.9010425,0.6755401,0.019982422,0.06590976,0.0002541048,0.18470159,0.0042366087,60.79213483146067,1.0253117632559117,1.0253117632559117,1.0
780000,1.8791206,0.6956933,0.020007154,0.06988858,0.00025350112,0.18450037,0.0042265677,60.46621621621622,1.0199679454119923,1.0199679454119923,1.0
790000,1.867504,0.691407,0.018379003,0.062661454,0.00025289392,0.18429795,0.0042164684,62.01156069364162,1.0355217395037968,1.0355217395037968,1.0
800000,1.8352383,0.6528072,0.02161943,0.06896801,0.00025228295,0.18409431,0.0042063063,64.93571428571428,1.0066778467180544,1.0066778467180544,1.0
810000,1.9081194,0.65778595,0.02447887,0.064384006,0.00025173317,0.18391104,0.004197161,64.5126582278481,1.0169487182791226,1.0169487182791226,1.0
820000,1.8519864,0.62850654,0.026519256,0.067408696,0.00025112147,0.18370715,0.0041869865,65.36363636363636,1.0225283032482337,1.0225283032482337,1.0
830000,1.8573345,0.66569805,0.024490027,0.05524711,0.00025052144,0.18350714,0.004177005,60.5030303030303,1.0312179514947228,1.0312179514947228,1.0
840000,1.836329,0.6736127,0.020694284,0.06280935,0.0002498862,0.1832954,0.0041664396,59.86184210526316,1.0282051258314497,1.0282051258314497,1.0
